Commune,Average registered price per squared meter in €,MinPriceSMuc,MaxPriceSMuc,Year
Bettembourg,4215.006,3440,4901,2011
Bettendorf,4633.802,3232,6448,2011
Betzdorf,4633.802,3232,6448,2011
Bissen,4633.802,3232,6448,2011
Biwer,4633.802,3232,6448,2011
Boevange-sur-Attert,4633.802,3232,6448,2011
Boulaide,4633.802,3232,6448,2011
Bourscheid,4633.802,3232,6448,2011
Bous,4633.802,3232,6448,2011
Clervaux,3188.23,2879,3422,2011
Colmar-Berg,3735.867,3057,4300,2011
Consdorf,4633.802,3232,6448,2011
Contern,4633.802,3232,6448,2011
Dalheim,4633.802,3232,6448,2011
Diekirch,4205.066,3091,5307,2011
Differdange,3820.467,3000,4558,2011
Dippach,4633.802,3232,6448,2011
Dudelange,4188.708,2886,4591,2011
Echternach,4633.802,3232,6448,2011
Ell,4633.802,3232,6448,2011
Erpeldange,4633.802,3232,6448,2011
Esch-sur-Alzette,4358.958,3734,5293,2011
Esch-sur-Sûre,4633.802,3232,6448,2011
Eschweiler,4633.802,3232,6448,2011
Ettelbruck,4384.528,3690,4885,2011
Feulen,4633.802,3232,6448,2011
Fischbach,4633.802,3232,6448,2011
Flaxweiler,4633.802,3232,6448,2011
Frisange,4486.69,3695,4909,2011
Garnich,4633.802,3232,6448,2011
Goesdorf,4633.802,3232,6448,2011
Grevenmacher,3486.124,3020,4017,2011
Grosbous,4633.802,3232,6448,2011
Heffingen,4633.802,3232,6448,2011
Hesperange,5100.993,3821,5907,2011
Hobscheid,3607.754,3300,3878,2011
Junglinster,4298.82,3758,4946,2011
Kaerjeng,4233.321,3642,4953,2011
Kayl,3914.491,3294,4520,2011
Kehlen,4249.167,3916,5322,2011
Kiischpelt,4633.802,3232,6448,2011
Koerich,4633.802,3232,6448,2011
Kopstal,5799.917,4439,7212,2011
Lac de la Haute-Sûre,4633.802,3232,6448,2011
Larochette,4633.802,3232,6448,2011
Lenningen,4633.802,3232,6448,2011
Leudelange,5066.268,4606,5669,2011
Lintgen,4633.802,3232,6448,2011
Lorentzweiler,4633.802,3232,6448,2011
Luxembourg City,5469.143,4288,7042,2011
Mamer,5080.397,4152,5672,2011
Manternach,4633.802,3232,6448,2011
Mersch,4444.478,3467,5228,2011
Mertert,3999.828,3048,4576,2011
Mertzig,4633.802,3232,6448,2011
Mompach,4633.802,3232,6448,2011
Mondercange,4633.802,3232,6448,2011
Mondorf-les-Bains,4633.802,3232,6448,2011
Niederanven,4633.802,3232,6448,2011
Nommern,4633.802,3232,6448,2011
Parc Hosingen,4633.802,3232,6448,2011
Petange,3542.348,2908,4149,2011
Preizerdaul,4633.802,3232,6448,2011
Putscheid,4633.802,3232,6448,2011
Rambrouch,4633.802,3232,6448,2011
Reckange-sur-Mess,4633.802,3232,6448,2011
Redange,4633.802,3232,6448,2011
Reisdorf,4633.802,3232,6448,2011
Remich,4633.802,3232,6448,2011
Roeser,4661.442,4080,6100,2011
Rosport,4633.802,3232,6448,2011
Rumelange,3447.223,2967,4262,2011
Saeul,4633.802,3232,6448,2011
Sandweiler,4684.979,4050,5306,2011
Sanem,3982.836,3257,5005,2011
Schengen,3631.195,3069,3969,2011
Schieren,4237.6,3728,4651,2011
Schifflange,3755.776,2912,4862,2011
Schuttrange,4633.802,3232,6448,2011
Septfontaines,4633.802,3232,6448,2011
Stadtbredimus,4633.802,3232,6448,2011
Steinfort,4633.802,3232,6448,2011
Steinsel,4633.802,3232,6448,2011
Strassen,5657.992,4746,6869,2011
Tandel,4633.802,3232,6448,2011
Troisvierges,4633.802,3232,6448,2011
Tuntange,3740.663,3189,4394,2011
Useldange,4633.802,3232,6448,2011
Vallée de l'Ernz,4633.802,3232,6448,2011
Vianden,4633.802,3232,6448,2011
Vichten,4633.802,3232,6448,2011
Wahl,4633.802,3232,6448,2011
Waldbillig,4633.802,3232,6448,2011
Waldbredimus,4633.802,3232,6448,2011
Walferdange,4633.802,3232,6448,2011
Weiler-la-Tour,4389.929,3859,5095,2011
Weiswampach,4633.802,3232,6448,2011
Wiltz,4633.802,3232,6448,2011
Wincrange,4633.802,3232,6448,2011
Winseler,4633.802,3232,6448,2011
Wormeldange,4633.802,3232,6448,2011
National Average,4633.802,3232,6448,2011
Beaufort,4845.979,3221,6853,2012
Bech,4845.979,3221,6853,2012
Beckerich,4845.979,3221,6853,2012
Berdorf,4845.979,3221,6853,2012
Bertrange,6107.918,5319,7253,2012
Bettembourg,4453.785,3493,5100,2012
Bettendorf,4845.979,3221,6853,2012
Betzdorf,4845.979,3221,6853,2012
Bissen,4845.979,3221,6853,2012
Biwer,4845.979,3221,6853,2012
Boevange-sur-Attert,4845.979,3221,6853,2012
Boulaide,4845.979,3221,6853,2012
Bourscheid,4845.979,3221,6853,2012
Bous,3554.878,2917,4070,2012
Clervaux,4845.979,3221,6853,2012
Colmar-Berg,4845.979,3221,6853,2012
Consdorf,4845.979,3221,6853,2012
Contern,4845.979,3221,6853,2012
Dalheim,4845.979,3221,6853,2012
Diekirch,4845.979,3221,6853,2012
Differdange,3843.486,3280,4322,2012
Dippach,4651.735,4263,5130,2012
Dudelange,4413.628,3711,5129,2012
Echternach,4845.979,3221,6853,2012
Ell,4845.979,3221,6853,2012
Erpeldange,4845.979,3221,6853,2012
Esch-sur-Alzette,4588.709,3779,5666,2012
Esch-sur-Sûre,4845.979,3221,6853,2012
Eschweiler,4845.979,3221,6853,2012
Ettelbruck,4845.979,3221,6853,2012
Feulen,4845.979,3221,6853,2012
Fischbach,4845.979,3221,6853,2012
Flaxweiler,4845.979,3221,6853,2012
Frisange,3656.909,2537,4521,2012
Garnich,4845.979,3221,6853,2012
Goesdorf,4845.979,3221,6853,2012
Grevenmacher,3806.672,2965,4625,2012
Grosbous,4845.979,3221,6853,2012
Heffingen,4845.979,3221,6853,2012
Hesperange,5397.53,4008,7033,2012
Hobscheid,4845.979,3221,6853,2012
Junglinster,4942.814,4187,6124,2012
Kaerjeng,4845.979,3221,6853,2012
Kayl,4165.861,3405,4886,2012
Kehlen,4845.979,3221,6853,2012
Kiischpelt,4845.979,3221,6853,2012
Koerich,4845.979,3221,6853,2012
Kopstal,5846.862,4672,7065,2012
Lac de la Haute-Sûre,4845.979,3221,6853,2012
Larochette,4845.979,3221,6853,2012
Lenningen,4845.979,3221,6853,2012
Leudelange,4913.145,4491,5839,2012
Lintgen,4845.979,3221,6853,2012
Lorentzweiler,4954.346,3604,5861,2012
Luxembourg City,5789.002,4521,7582,2012
Mamer,5031.616,4023,5749,2012
Manternach,4845.979,3221,6853,2012
Mersch,4520.063,3313,4935,2012
Mertert,4845.979,3221,6853,2012
Mertzig,4845.979,3221,6853,2012
Mompach,4845.979,3221,6853,2012
Mondercange,4845.979,3221,6853,2012
Mondorf-les-Bains,4845.979,3221,6853,2012
Niederanven,4845.979,3221,6853,2012
Nommern,4845.979,3221,6853,2012
Parc Hosingen,4845.979,3221,6853,2012
Petange,3449.667,2904,4369,2012
Preizerdaul,4845.979,3221,6853,2012
Putscheid,4845.979,3221,6853,2012
