Commune,Number of sales,Average registered price per squared meter in €,MinPriceSM,MaxPriceSM,Year,,,,,,,,,,,
Nommern,1,3663.585,2438,5142,2010,,,,,,,,,,,
Parc Hosingen,1,3663.585,2438,5142,2010,,,,,,,,,,,
Petange,101,3254.1109999999999,2344,4059,2010,,,,,,,,,,,
Preizerdaul,5,3663.585,2438,5142,2010,,,,,,,,,,,
Putscheid,0,3663.585,2438,5142,2010,,,,,,,,,,,
Rambrouch,8,3663.585,2438,5142,2010,,,,,,,,,,,
Reckange-sur-Mess,14,4050.1819999999998,2970,5165,2010,,,,,,,,,,,
Redange,13,3655.3969999999999,2797,5204,2010,,,,,,,,,,,
Reisdorf,1,3663.585,2438,5142,2010,,,,,,,,,,,
Remich,34,3422.9850000000001,2475,4398,2010,,,,,,,,,,,
Roeser,56,4105.1270000000004,3199,4885,2010,,,,,,,,,,,
Rosport,5,3663.585,2438,5142,2010,,,,,,,,,,,
Rumelange,25,2956.0410000000002,2075,3611,2010,,,,,,,,,,,
Saeul,5,3663.585,2438,5142,2010,,,,,,,,,,,
Sandweiler,11,4178.674,3125,4666,2010,,,,,,,,,,,
Sanem,62,3350.8629999999998,2211,4191,2010,,,,,,,,,,,
Schengen,24,3158.712,2046,3991,2010,,,,,,,,,,,
Schieren,4,3663.585,2438,5142,2010,,,,,,,,,,,
Schifflange,55,3390.239,2144,4415,2010,,,,,,,,,,,
Schuttrange,8,3663.585,2438,5142,2010,,,,,,,,,,,
Septfontaines,0,3663.585,2438,5142,2010,,,,,,,,,,,
Stadtbredimus,5,3663.585,2438,5142,2010,,,,,,,,,,,
Steinfort,17,3471.2060000000001,2875,4646,2010,,,,,,,,,,,
Steinsel,12,3793.6509999999998,3015,4644,2010,,,,,,,,,,,
Strassen,54,4498.9620000000004,3009,5877,2010,,,,,,,,,,,
Tandel,4,3663.585,2438,5142,2010,,,,,,,,,,,
Troisvierges,1,3663.585,2438,5142,2010,,,,,,,,,,,
Tuntange,5,3663.585,2438,5142,2010,,,,,,,,,,,
Useldange,1,3663.585,2438,5142,2010,,,,,,,,,,,
Vallée de l'Ernz,8,3663.585,2438,5142,2010,,,,,,,,,,,
Vianden,3,3663.585,2438,5142,2010,,,,,,,,,,,
Vichten,4,3663.585,2438,5142,2010,,,,,,,,,,,
Wahl,0,3663.585,2438,5142,2010,,,,,,,,,,,
Waldbillig,1,3663.585,2438,5142,2010,,,,,,,,,,,
Waldbredimus,2,3663.585,2438,5142,2010,,,,,,,,,,,
Walferdange,37,4066.93,2936,5053,2010,,,,,,,,,,,
Weiler-la-Tour,12,4556.4589999999998,3775,5494,2010,,,,,,,,,,,
Weiswampach,3,3663.585,2438,5142,2010,,,,,,,,,,,
Wiltz,16,2894.6129999999998,2272,4249,2010,,,,,,,,,,,
Wincrange,4,3663.585,2438,5142,2010,,,,,,,,,,,
Winseler,7,3663.585,2438,5142,2010,,,,,,,,,,,
Wormeldange,11,3049.652,1908,4062,2010,,,,,,,,,,,
National Average,,3663.585,2438,5142,2010,,,,,,,,,,,
Beaufort,4,3858.319,2533,5487,2011,,,,,,,,,,,
Bech,2,3858.319,2533,5487,2011,,,,,,,,,,,
Beckerich,4,3858.319,2533,5487,2011,,,,,,,,,,,
Berdorf,6,3858.319,2533,5487,2011,,,,,,,,,,,
Bertrange,33,4610.7669999999998,3540,5587,2011,,,,,,,,,,,
Bettembourg,33,3672.3090000000002,2746,4389,2011,,,,,,,,,,,
Bettendorf,8,3858.319,2533,5487,2011,,,,,,,,,,,
Betzdorf,18,4179.5029999999997,2964,5253,2011,,,,,,,,,,,
Bissen,14,3517.5619999999999,2516,4065,2011,,,,,,,,,,,
Biwer,1,3858.319,2533,5487,2011,,,,,,,,,,,
Boevange-sur-Attert,5,3858.319,2533,5487,2011,,,,,,,,,,,
Boulaide,5,3858.319,2533,5487,2011,,,,,,,,,,,
Bourscheid,0,3858.319,2533,5487,2011,,,,,,,,,,,
Bous,10,3958.893,2759,4753,2011,,,,,,,,,,,
Clervaux,18,2951.1210000000001,1882,4503,2011,,,,,,,,,,,
Colmar-Berg,23,3372.7959999999998,2579,3938,2011,,,,,,,,,,,
Consdorf,1,3858.319,2533,5487,2011,,,,,,,,,,,
Contern,14,4201.9059999999999,2928,6358,2011,,,,,,,,,,,
Dalheim,6,3858.319,2533,5487,2011,,,,,,,,,,,
Diekirch,23,3556.4369999999999,2159,4620,2011,,,,,,,,,,,
Differdange,164,3397.404,2317,4315,2011,,,,,,,,,,,
Dippach,15,3755.5549999999998,3028,4698,2011,,,,,,,,,,,
Dudelange,120,3499.34,2585,4463,2011,,,,,,,,,,,
Echternach,24,3350.2910000000002,2556,3887,2011,,,,,,,,,,,
Ell,7,3858.319,2533,5487,2011,,,,,,,,,,,
Erpeldange,3,3858.319,2533,5487,2011,,,,,,,,,,,
Esch-sur-Alzette,210,3493.5309999999999,2293,4624,2011,,,,,,,,,,,
Esch-sur-Sûre,3,3858.319,2533,5487,2011,,,,,,,,,,,
Eschweiler,1,3858.319,2533,5487,2011,,,,,,,,,,,
Ettelbruck,35,3561.33,2292,4646,2011,,,,,,,,,,,
Feulen,3,3858.319,2533,5487,2011,,,,,,,,,,,
Fischbach,8,3858.319,2533,5487,2011,,,,,,,,,,,
Flaxweiler,0,3858.319,2533,5487,2011,,,,,,,,,,,
Frisange,20,3543.395,1942,4798,2011,,,,,,,,,,,
Garnich,0,3858.319,2533,5487,2011,,,,,,,,,,,
Goesdorf,3,3858.319,2533,5487,2011,,,,,,,,,,,
Grevenmacher,31,3579.866,2121,4622,2011,,,,,,,,,,,
Grosbous,2,3858.319,2533,5487,2011,,,,,,,,,,,
Heffingen,2,3858.319,2533,5487,2011,,,,,,,,,,,
Hesperange,92,4423.53,3053,5545,2011,,,,,,,,,,,
Hobscheid,25,3496.8580000000002,2870,4344,2011,,,,,,,,,,,
Junglinster,20,3876.1260000000002,3141,4861,2011,,,,,,,,,,,
Kaerjeng,60,3655.145,2932,4670,2011,,,,,,,,,,,
Kayl,48,3521.893,2586,4386,2011,,,,,,,,,,,
Kehlen,11,3745.5680000000002,2201,4505,2011,,,,,,,,,,,
Kiischpelt,2,3858.319,2533,5487,2011,,,,,,,,,,,
Koerich,2,3858.319,2533,5487,2011,,,,,,,,,,,
Kopstal,5,3858.319,2533,5487,2011,,,,,,,,,,,
Lac de la Haute-Sûre,2,3858.319,2533,5487,2011,,,,,,,,,,,
Larochette,15,3106.7950000000001,2226,3945,2011,,,,,,,,,,,
Lenningen,4,3858.319,2533,5487,2011,,,,,,,,,,,
Leudelange,18,4475.2479999999996,3361,5648,2011,,,,,,,,,,,
Lintgen,18,3674.7150000000001,2714,4862,2011,,,,,,,,,,,
Lorentzweiler,16,4037.1579999999999,2744,5018,2011,,,,,,,,,,,
Luxembourg City,506,4721.3459999999995,3209,6376,2011,,,,,,,,,,,
Mamer,23,4116.7830000000004,2830,4849,2011,,,,,,,,,,,
Manternach,1,3858.319,2533,5487,2011,,,,,,,,,,,
Mersch,39,3786.0410000000002,2548,5133,2011,,,,,,,,,,,
Mertert,30,3429.0630000000001,2366,4224,2011,,,,,,,,,,,
Mertzig,4,3858.319,2533,5487,2011,,,,,,,,,,,
Mompach,0,3858.319,2533,5487,2011,,,,,,,,,,,
Mondercange,30,3750.9169999999999,3034,5091,2011,,,,,,,,,,,
Mondorf-les-Bains,50,3824.9589999999998,2863,4791,2011,,,,,,,,,,,
Niederanven,2,3858.319,2533,5487,2011,,,,,,,,,,,
Nommern,1,3858.319,2533,5487,2011,,,,,,,,,,,
Parc Hosingen,9,3858.319,2533,5487,2011,,,,,,,,,,,
Petange,107,3486.1329999999998,2386,4844,2011,,,,,,,,,,,
Preizerdaul,2,3858.319,2533,5487,2011,,,,,,,,,,,
Putscheid,1,3858.319,2533,5487,2011,,,,,,,,,,,
Rambrouch,4,3858.319,2533,5487,2011,,,,,,,,,,,
Reckange-sur-Mess,9,3858.319,2533,5487,2011,,,,,,,,,,,
Redange,9,3858.319,2533,5487,2011,,,,,,,,,,,
Reisdorf,2,3858.319,2533,5487,2011,,,,,,,,,,,
Remich,42,3585.9589999999998,2442,4474,2011,,,,,,,,,,,
Roeser,55,4290.2860000000001,3484,5154,2011,,,,,,,,,,,
Rosport,4,3858.319,2533,5487,2011,,,,,,,,,,,
Rumelange,27,3224.2220000000002,2179,4190,2011,,,,,,,,,,,
Saeul,8,3858.319,2533,5487,2011,,,,,,,,,,,
Sandweiler,10,4613.9129999999996,3467,5791,2011,,,,,,,,,,,
Sanem,66,3457.6550000000002,2618,4116,2011,,,,,,,,,,,
Schengen,25,3359.1529999999998,2364,4084,2011,,,,,,,,,,,
Schieren,5,3858.319,2533,5487,2011,,,,,,,,,,,
Schifflange,48,3670.49,2420,4802,2011,,,,,,,,,,,
Schuttrange,12,3997.6509999999998,3208,5467,2011,,,,,,,,,,,
Septfontaines,0,3858.319,2533,5487,2011,,,,,,,,,,,
Stadtbredimus,8,3858.319,2533,5487,2011,,,,,,,,,,,
Steinfort,10,3724.306,2627,4333,2011,,,,,,,,,,,
Steinsel,5,3858.319,2533,5487,2011,,,,,,,,,,,
Strassen,49,4525.2110000000002,3362,5682,2011,,,,,,,,,,,
Tandel,4,3858.319,2533,5487,2011,,,,,,,,,,,
Troisvierges,3,3858.319,2533,5487,2011,,,,,,,,,,,
Tuntange,2,3858.319,2533,5487,2011,,,,,,,,,,,
Useldange,5,3858.319,2533,5487,2011,,,,,,,,,,,
Vallée de l'Ernz,10,2957.2840000000001,2127,3773,2011,,,,,,,,,,,
Vianden,3,3858.319,2533,5487,2011,,,,,,,,,,,
Vichten,5,3858.319,2533,5487,2011,,,,,,,,,,,
Wahl,3,3858.319,2533,5487,2011,,,,,,,,,,,
Waldbillig,1,3858.319,2533,5487,2011,,,,,,,,,,,
Waldbredimus,3,3858.319,2533,5487,2011,,,,,,,,,,,
Walferdange,44,4292.4679999999998,3148,5435,2011,,,,,,,,,,,
Weiler-la-Tour,7,3858.319,2533,5487,2011,,,,,,,,,,,
Weiswampach,7,3858.319,2533,5487,2011,,,,,,,,,,,
Wiltz,18,2982.9090000000001,2097,4691,2011,,,,,,,,,,,
Wincrange,4,3858.319,2533,5487,2011,,,,,,,,,,,
Winseler,8,3858.319,2533,5487,2011,,,,,,,,,,,
Wormeldange,15,3108.0509999999999,1963,4442,2011,,,,,,,,,,,
National Average,,3858.319,2533,5487,2011,,,,,,,,,,,
Beaufort,8,3998.736,2543,5933,2012,,,,,,,,,,,
Bech,1,3998.736,2543,5933,2012,,,,,,,,,,,
Beckerich,5,3998.736,2543,5933,2012,,,,,,,,,,,
Berdorf,4,3998.736,2543,5933,2012,,,,,,,,,,,
Bertrange,41,4698.0060000000003,3502,6088,2012,,,,,,,,,,,
Bettembourg,32,3666.91,2754,4564,2012,,,,,,,,,,,
Bettendorf,5,3998.736,2543,5933,2012,,,,,,,,,,,
Betzdorf,12,4020.1,2474,4971,2012,,,,,,,,,,,
Bissen,7,3998.736,2543,5933,2012,,,,,,,,,,,
Biwer,2,3998.736,2543,5933,2012,,,,,,,,,,,
Boevange-sur-Attert,0,3998.736,2543,5933,2012,,,,,,,,,,,
Boulaide,2,3998.736,2543,5933,2012,,,,,,,,,,,
Bourscheid,1,3998.736,2543,5933,2012,,,,,,,,,,,
Bous,3,3998.736,2543,5933,2012,,,,,,,,,,,
Clervaux,24,3007.0430000000001,2003,3499,2012,,,,,,,,,,,
Colmar-Berg,21,3459.1880000000001,2534,4061,2012,,,,,,,,,,,
Consdorf,1,3998.736,2543,5933,2012,,,,,,,,,,,
Contern,7,3998.736,2543,5933,2012,,,,,,,,,,,
Dalheim,5,3998.736,2543,5933,2012,,,,,,,,,,,
Diekirch,31,3652.5410000000002,2282,4487,2012,,,,,,,,,,,
Differdange,167,3495.4630000000002,2337,4579,2012,,,,,,,,,,,
Dippach,17,3793.6289999999999,1748,5135,2012,,,,,,,,,,,
Dudelange,109,3726.6439999999998,2423,4809,2012,,,,,,,,,,,
Echternach,25,3668.1460000000002,2931,4790,2012,,,,,,,,,,,
Ell,5,3998.736,2543,5933,2012,,,,,,,,,,,
Erpeldange,7,3998.736,2543,5933,2012,,,,,,,,,,,
Esch-sur-Alzette,181,3426.6109999999999,2183,4340,2012,,,,,,,,,,,
Esch-sur-Sûre,5,3998.736,2543,5933,2012,,,,,,,,,,,
Eschweiler,6,3998.736,2543,5933,2012,,,,,,,,,,,
Ettelbruck,54,3608.3679999999999,2560,4499,2012,,,,,,,,,,,
Feulen,1,3998.736,2543,5933,2012,,,,,,,,,,,
Fischbach,8,3998.736,2543,5933,2012,,,,,,,,,,,
Flaxweiler,1,3998.736,2543,5933,2012,,,,,,,,,,,
Frisange,15,3740.67,1903,4819,2012,,,,,,,,,,,
Garnich,0,3998.736,2543,5933,2012,,,,,,,,,,,
Goesdorf,9,3998.736,2543,5933,2012,,,,,,,,,,,
Grevenmacher,44,3656.8649999999998,2767,4922,2012,,,,,,,,,,,
Grosbous,4,3998.736,2543,5933,2012,,,,,,,,,,,
Heffingen,3,3998.736,2543,5933,2012,,,,,,,,,,,
Hesperange,87,4585.1629999999996,3387,5896,2012,,,,,,,,,,,
Hobscheid,19,3567.2559999999999,2771,4224,2012,,,,,,,,,,,
Junglinster,16,4440.7370000000001,3439,5325,2012,,,,,,,,,,,
Kaerjeng,51,3722.413,2816,4769,2012,,,,,,,,,,,
Kayl,52,3742.3939999999998,2875,4569,2012,,,,,,,,,,,
Kehlen,18,4328.2160000000003,3252,5532,2012,,,,,,,,,,,
Kiischpelt,1,3998.736,2543,5933,2012,,,,,,,,,,,
Koerich,4,3998.736,2543,5933,2012,,,,,,,,,,,
Kopstal,6,3998.736,2543,5933,2012,,,,,,,,,,,
