Commune,Number of sales,Average registered price per squared meter in Euros,MinPriceSM,MaxPriceSM,ARPsm_VEPA,MinPriceSM_VEPA,MaxPriceSM_VEPA,Year
Kayl,48,3426.965,2088,4406,3682.467,2863,5048,2010
Kehlen,8,3663.585,2438,5142,4670.821,3401,5427,2010
Kiischpelt,4,3663.585,2438,5142,4480.081,3155,6374,2010
Koerich,1,3663.585,2438,5142,4480.081,3155,6374,2010
Kopstal,5,3663.585,2438,5142,4480.081,3155,6374,2010
Lac de la Haute-S?e,3,3663.585,2438,5142,4480.081,3155,6374,2010
Larochette,17,2951.252,1742,3909,4480.081,3155,6374,2010
Lenningen,5,3663.585,2438,5142,4480.081,3155,6374,2010
Leudelange,16,3900.804,2534,5327,4480.081,3155,6374,2010
Lintgen,11,3588.295,2787,4373,4089.69,3239,4831,2010
Lorentzweiler,9,3663.585,2438,5142,4480.081,3155,6374,2010
Luxembourg City,448,4375.442,2922,6000,5621.878,4328,7082,2010
Mamer,16,3717.252,2584,4530,4569.894,3241,5223,2010
Manternach,1,3663.585,2438,5142,4480.081,3155,6374,2010
Mersch,34,3393.128,2274,4253,3713.142,3076,4357,2010
Mertert,9,3663.585,2438,5142,3844.9,2950,5233,2010
Mertzig,2,3663.585,2438,5142,4480.081,3155,6374,2010
Mompach,0,3663.585,2438,5142,4480.081,3155,6374,2010
Mondercange,26,3393.106,2786,3949,4480.081,3155,6374,2010
Mondorf-les-Bains,26,3749.51,2899,4615,4480.081,3155,6374,2010
Niederanven,2,3663.585,2438,5142,4480.081,3155,6374,2010
Nommern,1,3663.585,2438,5142,4480.081,3155,6374,2010
Parc Hosingen,1,3663.585,2438,5142,4480.081,3155,6374,2010
Petange,101,3254.111,2344,4059,3889.626,3070,5008,2010
Preizerdaul,5,3663.585,2438,5142,4480.081,3155,6374,2010
Putscheid,0,3663.585,2438,5142,4480.081,3155,6374,2010
Rambrouch,8,3663.585,2438,5142,4480.081,3155,6374,2010
Reckange-sur-Mess,14,4050.182,2970,5165,4480.081,3155,6374,2010
Redange,13,3655.397,2797,5204,4480.081,3155,6374,2010
Reisdorf,1,3663.585,2438,5142,4480.081,3155,6374,2010
Remich,34,3422.985,2475,4398,4021.912,3387,4346,2010
Roeser,56,4105.127,3199,4885,4415.29,3763,5412,2010
Rosport,5,3663.585,2438,5142,4480.081,3155,6374,2010
Rumelange,25,2956.041,2075,3611,3898.048,3451,4354,2010
Saeul,5,3663.585,2438,5142,4480.081,3155,6374,2010
Sandweiler,11,4178.674,3125,4666,4465.932,3560,5800,2010
Sanem,62,3350.863,2211,4191,3767.428,3135,4439,2010
Schengen,24,3158.712,2046,3991,4480.081,3155,6374,2010
Schieren,4,3663.585,2438,5142,4107.194,3801,4667,2010
Schifflange,55,3390.239,2144,4415,3887.972,3100,4764,2010
Schuttrange,8,3663.585,2438,5142,4480.081,3155,6374,2010
Septfontaines,0,3663.585,2438,5142,4480.081,3155,6374,2010
Stadtbredimus,5,3663.585,2438,5142,4480.081,3155,6374,2010
Steinfort,17,3471.206,2875,4646,4480.081,3155,6374,2010
Steinsel,12,3793.651,3015,4644,4273.856,3862,4815,2010
Strassen,54,4498.962,3009,5877,5305.981,4339,6002,2010
Tandel,4,3663.585,2438,5142,4480.081,3155,6374,2010
Troisvierges,1,3663.585,2438,5142,4480.081,3155,6374,2010
Tuntange,5,3663.585,2438,5142,4480.081,3155,6374,2010
Useldange,1,3663.585,2438,5142,4480.081,3155,6374,2010
Vall? de l'Ernz,8,3663.585,2438,5142,4480.081,3155,6374,2010
Vianden,3,3663.585,2438,5142,4480.081,3155,6374,2010
Vichten,4,3663.585,2438,5142,4480.081,3155,6374,2010
Wahl,0,3663.585,2438,5142,4480.081,3155,6374,2010
Waldbillig,1,3663.585,2438,5142,4480.081,3155,6374,2010
Waldbredimus,2,3663.585,2438,5142,4480.081,3155,6374,2010
Walferdange,37,4066.93,2936,5053,4579.322,4026,5103,2010
Weiler-la-Tour,12,4556.459,3775,5494,4480.081,3155,6374,2010
Weiswampach,3,3663.585,2438,5142,4480.081,3155,6374,2010
Wiltz,16,2894.613,2272,4249,4480.081,3155,6374,2010
Wincrange,4,3663.585,2438,5142,4480.081,3155,6374,2010
Winseler,7,3663.585,2438,5142,4480.081,3155,6374,2010
Wormeldange,11,3049.652,1908,4062,4480.081,3155,6374,2010
Beaufort,4,3858.319,2533,5487,4633.802,3232,6448,2011
Bech,2,3858.319,2533,5487,4633.802,3232,6448,2011
Beckerich,4,3858.319,2533,5487,4633.802,3232,6448,2011
Berdorf,6,3858.319,2533,5487,4633.802,3232,6448,2011
Bertrange,33,4610.767,3540,5587,5646.438,5128,6329,2011
Bettembourg,33,3672.309,2746,4389,4215.006,3440,4901,2011
Bettendorf,8,3858.319,2533,5487,4633.802,3232,6448,2011
Betzdorf,18,4179.503,2964,5253,4633.802,3232,6448,2011
Bissen,14,3517.562,2516,4065,4633.802,3232,6448,2011
Biwer,1,3858.319,2533,5487,4633.802,3232,6448,2011
Boevange-sur-Attert,5,3858.319,2533,5487,4633.802,3232,6448,2011
Boulaide,5,3858.319,2533,5487,4633.802,3232,6448,2011
Bourscheid,0,3858.319,2533,5487,4633.802,3232,6448,2011
Bous,10,3958.893,2759,4753,4633.802,3232,6448,2011
Clervaux,18,2951.121,1882,4503,3188.23,2879,3422,2011
Colmar-Berg,23,3372.796,2579,3938,3735.867,3057,4300,2011
Consdorf,1,3858.319,2533,5487,4633.802,3232,6448,2011
Contern,14,4201.906,2928,6358,4633.802,3232,6448,2011
Dalheim,6,3858.319,2533,5487,4633.802,3232,6448,2011
Diekirch,23,3556.437,2159,4620,4205.066,3091,5307,2011
Differdange,164,3397.404,2317,4315,3820.467,3000,4558,2011
Dippach,15,3755.555,3028,4698,4633.802,3232,6448,2011
Dudelange,120,3499.34,2585,4463,4188.708,2886,4591,2011
Echternach,24,3350.291,2556,3887,4633.802,3232,6448,2011
Ell,7,3858.319,2533,5487,4633.802,3232,6448,2011
Erpeldange,3,3858.319,2533,5487,4633.802,3232,6448,2011
Esch-sur-Alzette,210,3493.531,2293,4624,4358.958,3734,5293,2011
Esch-sur-S?e,3,3858.319,2533,5487,4633.802,3232,6448,2011
Eschweiler,1,3858.319,2533,5487,4633.802,3232,6448,2011
Ettelbruck,35,3561.33,2292,4646,4384.528,3690,4885,2011
Feulen,3,3858.319,2533,5487,4633.802,3232,6448,2011
Fischbach,8,3858.319,2533,5487,4633.802,3232,6448,2011
Flaxweiler,0,3858.319,2533,5487,4633.802,3232,6448,2011
Frisange,20,3543.395,1942,4798,4486.69,3695,4909,2011
Garnich,0,3858.319,2533,5487,4633.802,3232,6448,2011
Goesdorf,3,3858.319,2533,5487,4633.802,3232,6448,2011
